"A�o","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","Divisi�n","Grupo","Clase","Subclase","Clave gen�rico","Gen�rico","Consecutivo","Especificaci�n","Precio promedio","Cantidad","Unidad","Estatus"
"2020","04","18/05/2020 12:00:00 a. m.","41","Tlaxcala, Tlax.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR 1 HORA","24","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","42","San Andr�s Tuxtla, Ver.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, RENTA POR 1 HORA","8","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","43","Campeche, Camp.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","TELECABLE, INTERNET, 5 MB, RENTA MENSUAL","509","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","43","Campeche, Camp.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, RENTA, POR 1 HORA","24","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","44","Tepatitl�n, Jal.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","SM, CAF� INTERNET, RENTA DE EQUIPO  POR HR","15","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","44","Tepatitl�n, Jal.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","SM, CAF� INTERNET, RENTA DE EQUIPO  POR HR","13","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","45","Tehuantepec, Oax.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, POR HORA","10","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","46","Cd. Acu�a, Coah.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, RENTA MEDIA HORA","10.5","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","47","Atlacomulco, Edo. de M�x.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA DE COMPUTADORA, POR HORA","9","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","47","Atlacomulco, Edo. de M�x.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, INTERNET POR UNA HORA","10","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","48","Canc�n, Q. Roo.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","TELECABLE, INTERNET, 5 MEGAS, RENTA MENSUAL","199","1","SERV",""
