Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,9,35,22.5,25.0,369.9,20.0,209.53,110.16,23.15,40.0,2021-09-01,820.2399999999999,2,4
2021,9,36,32.08,17.18,234.9,16.0,460.22,108.76,25.33,64.0,2021-09-01,958.4700000000001,2,4
2021,9,37,19.4,11.38,234.9,22.0,410.93,106.45,36.0,66.0,2021-09-01,907.0600000000001,2,4
2021,9,38,21.68,32.5,172.0,19.5,460.22,108.5,26.74,83.4,2021-09-01,924.5400000000001,2,4
2021,9,39,25.0,23.5,374.0,20.0,460.22,105.7,25.0,57.35,2021-09-01,1090.77,1,4
2021,9,40,39.68,17.23,320.0,19.0,436.65,102.83,30.0,55.0,2021-09-01,1020.39,1,4
2021,9,41,20.0,22.75,299.0,14.0,460.22,104.48,36.0,94.0,2021-09-01,1050.45,1,4
2021,9,42,24.72,11.0,280.0,16.0,216.78,106.08,28.89,70.18,2021-09-01,753.6500000000001,3,4
2021,9,43,8.0,23.5,125.0,20.02,213.15,106.01,33.33,94.0,2021-09-01,623.01,3,4
2021,9,44,19.0,15.93,234.4,20.0,460.22,113.64,32.93,25.73,2021-09-01,921.8499999999999,2,4
2021,9,45,25.0,20.5,187.5,20.0,213.15,100.19,44.0,70.5,2021-09-01,680.8399999999999,3,4
2021,9,46,26.99,19.84,304.0,11.95,156.25,112.65,30.89,125.0,2021-09-01,787.5699999999999,2,4
2021,9,47,38.35,23.0,245.0,16.0,460.22,105.19,27.5,59.0,2021-09-01,974.26,1,4
2021,9,48,24.98,24.58,227.5,22.0,213.15,107.46,53.89,51.25,2021-09-01,724.8100000000001,3,4
2021,9,49,22.63,17.19,205.0,14.0,213.15,103.73,32.0,99.0,2021-09-01,706.7,3,4
2021,9,50,29.0,21.0,194.0,22.0,167.82,106.67,30.25,159.0,2021-09-01,729.74,3,4
2021,9,51,30.0,21.0,190.0,15.0,460.22,101.77,23.0,70.5,2021-09-01,911.49,2,4
2021,9,52,35.15,23.0,170.0,18.0,460.22,104.08,35.0,64.0,2021-09-01,909.45,2,4
2021,9,53,28.25,21.0,299.0,20.5,460.22,106.95,27.45,60.5,2021-09-01,1023.8700000000001,1,4
2021,9,54,23.5,19.0,140.0,19.0,216.78,103.1,28.5,50.0,2021-09-01,599.88,3,4
2021,9,55,28.5,14.5,195.0,16.0,460.22,104.49,34.44,68.0,2021-09-01,921.1500000000001,2,4
2021,10,1,42.68,25.0,210.0,18.0,461.41,109.52,27.12,92.5,2021-10-01,986.23,1,4
2021,10,2,22.48,24.55,191.75,22.0,378.71,105.33,60.79,115.0,2021-10-01,920.61,2,4
2021,10,3,23.25,20.0,287.25,12.78,461.41,101.19,54.94,110.0,2021-10-01,1070.8200000000002,1,4
2021,10,4,37.15,12.17,355.75,12.5,461.41,107.93,40.0,37.0,2021-10-01,1063.91,1,4
2021,10,5,35.9,19.97,340.0,19.0,378.71,105.69,63.39,102.49,2021-10-01,1065.1499999999999,1,4
2021,10,6,34.65,19.15,250.0,24.0,156.74,106.96,49.68,134.9,2021-10-01,776.0799999999999,2,4
2021,10,7,30.74,23.0,252.49,17.0,195.56,106.14,29.99,27.9,2021-10-01,682.8199999999999,3,4
2021,10,8,19.0,25.0,391.5,24.0,378.71,106.92,36.0,107.5,2021-10-01,1088.63,1,4
2021,10,9,29.0,17.7,197.5,22.0,168.35,112.01,25.33,140.0,2021-10-01,711.89,3,4
2021,10,10,32.55,19.0,389.0,20.0,461.41,106.04,61.94,94.0,2021-10-01,1183.94,1,4
2021,10,11,24.5,21.69,251.23,12.25,461.41,108.57,45.0,85.0,2021-10-01,1009.6499999999999,1,4
2021,10,12,33.95,21.6,186.0,16.0,461.41,109.6,47.19,94.45,2021-10-01,970.2,1,4
2021,10,13,18.18,18.03,200.0,19.0,352.59,110.32,30.0,69.9,2021-10-01,818.0199999999999,3,4
